time,gain
1,1.0126953125
2,1.052734375
3,1.0498046875
4,1.0439453125
5,1.0283203125
6,1.0380859375
7,1.029296875
8,1.0068359375
9,0.9921875
10,0.953125
11,0.9443359375
12,0.9140625
13,0.8818359375
14,0.8701171875
15,0.8232421875
16,0.810546875
17,0.775390625
18,0.7509765625
19,0.732421875
20,0.693359375
21,0.681640625
22,0.640625
23,0.626953125
24,0.5986328125
25,0.57421875
26,0.5556640625
27,0.5263671875
28,0.5205078125
29,0.4853515625
30,0.46875
31,0.4345703125
32,0.4140625
33,0.38671875
34,0.3642578125
35,0.34765625
36,0.3154296875
37,0.3046875
38,0.2744140625
39,0.2666015625
40,0.240234375
41,0.2197265625
42,0.2060546875
43,0.171875
44,0.1689453125
45,0.1337890625
46,0.126953125
47,0.1025390625
48,0.0810546875
49,0.0712890625
50,0.04296875
51,0.0400390625
52,0.0166015625
53,0.01171875
54,0.0048828125
55,0.0
56,0.0029296875
57,0.001953125
58,0.005859375
59,0.0009765625
60,0.0126953125
61,0.0
62,0.0078125
63,0.0009765625
64,0.0
65,0.0078125
66,0.0
67,0.0087890625
68,0.0029296875
69,0.0107421875
70,0.0029296875
71,0.0029296875
72,0.0107421875
73,0.001953125
74,0.0166015625
75,0.0048828125
76,0.005859375
77,0.001953125
78,0.0029296875
79,0.0078125
80,0.0
81,0.009765625
82,0.0
83,0.005859375
84,0.0048828125
85,0.0068359375
86,0.0126953125
87,0.005859375
88,0.0166015625
89,0.0068359375
90,0.017578125
91,0.0107421875
92,0.0166015625
93,0.025390625
94,0.025390625
95,0.0390625
96,0.0400390625
97,0.048828125
98,0.0537109375
99,0.060546875
100,0.0791015625
101,0.0810546875
102,0.1005859375
103,0.1064453125
104,0.12109375
105,0.126953125
106,0.142578125
107,0.1533203125
108,0.162109375
109,0.1787109375
110,0.1806640625
111,0.20703125
112,0.2080078125
113,0.234375
114,0.248046875
115,0.259765625
116,0.2939453125
117,0.2919921875
118,0.3251953125
119,0.3359375
120,0.3515625
121,0.373046875
122,0.3740234375
123,0.40625
124,0.41796875
125,0.4462890625
126,0.462890625
127,0.4873046875
128,0.505859375
129,0.525390625
130,0.5517578125
131,0.5732421875
132,0.6064453125
133,0.6220703125
134,0.65234375
135,0.671875
136,0.6953125
137,0.7216796875
138,0.744140625
139,0.775390625
140,0.79296875
141,0.8330078125
142,0.8505859375
143,0.8876953125
144,0.91796875
145,0.951171875
146,0.9931640625
147,1.00390625
148,1.044921875
149,1.072265625
150,1.1083984375
151,1.1484375
152,1.1611328125
153,1.2041015625
154,1.21875
155,1.2568359375
156,1.287109375
157,1.318359375
158,1.349609375
159,1.3828125
160,1.421875
161,1.45703125
162,1.498046875
163,1.5283203125
164,1.5654296875
165,1.599609375
166,1.62890625
167,1.6865234375
168,1.744140625
169,1.7939453125
170,1.8486328125
171,1.908203125
172,1.9619140625
173,2.0185546875
174,2.072265625
175,2.1279296875
176,2.1865234375
177,2.240234375
178,2.30078125
179,2.365234375
180,2.4306640625
181,2.50390625
182,2.5849609375
183,2.6689453125
184,2.75390625
185,2.8466796875
186,2.951171875
187,3.0615234375
188,3.171875
189,3.296875
190,3.41796875
191,3.55078125
192,3.69921875
193,3.841796875
194,4.005859375
195,4.16796875
196,4.3486328125
197,4.5361328125
198,4.724609375
199,4.931640625
200,5.12890625
201,5.3369140625
202,5.544921875
203,5.7470703125
204,5.958984375
205,6.16796875
206,6.376953125
207,6.5869140625
208,6.7958984375
209,7.005859375
210,7.2158203125
211,7.4296875
212,7.6474609375
213,7.8740234375
214,8.1044921875
215,8.3408203125
216,8.57421875
217,8.8193359375
218,9.076171875
219,9.328125
220,9.5927734375
221,9.85546875
222,10.1337890625
223,10.4140625
224,10.689453125
225,10.978515625
226,11.2626953125
227,11.5654296875
228,11.8798828125
229,12.189453125
230,12.5166015625
231,12.8447265625
232,13.185546875
233,13.5341796875
234,13.880859375
235,14.2373046875
236,14.59765625
237,14.962890625
238,15.32421875
239,15.6943359375
240,16.0703125
241,16.4521484375
242,16.837890625
243,17.2373046875
244,17.6484375
245,18.0693359375
246,18.5029296875
247,18.9306640625
248,19.3798828125
249,19.8408203125
250,20.3056640625
251,20.7822265625
252,21.2548828125
253,21.7392578125
254,22.2236328125
255,22.7099609375
256,23.212890625
257,23.7119140625
258,24.2265625
259,24.7373046875
260,25.2392578125
261,25.751953125
262,26.2578125
263,26.7734375
264,27.2841796875
265,27.810546875
266,28.3544921875
267,28.900390625
268,29.466796875
269,30.04296875
270,30.62890625
271,31.216796875
272,31.8115234375
273,32.4052734375
274,33.0126953125
275,33.6279296875
276,34.240234375
277,34.8681640625
278,35.4892578125
